1,Women's Metro B East,26978820,Elgar Park,ELG,Old Xaverians Hockey Club,La Trobe University Hockey Club,1,0,Home Win,16,13,
1,Men's Pennant F,26978550,Greensborough Hockey Centre,GRN2,La Trobe University Hockey Club,Greensborough Hockey Club,1,1,Draw,12,11,
1,Men's Pennant G,26978820,Greensborough Hockey Centre,GRN2,La Trobe University Hockey Club,RMIT Hockey Club,0,4,Away Win,13,14,
1,Women's Pennant D,26978730,Greensborough Hockey Centre,GRN2,La Trobe University Hockey Club,Essendon Hockey,1,0,Home Win,13,13,
1,Men's Metro A,26978460,Greensborough Hockey Centre,GRN2,La Trobe University Hockey Club,Brunswick Hockey Club,6,0,Home Win,12,12,
1,Men's Metro B East,26978640,Greensborough Hockey Centre,GRN2,La Trobe University Hockey Club,Old Trinity Hockey Club (2),1,3,Away Win,12,10,
1,Men's Pennant A,26978640,Hedley Hull Field,HHF,Waverley Hockey Club,Hawthorn Hockey Club,1,5,Away Win,15,15,
1,Women's Pennant A,26978730,Hedley Hull Field,HHF,Waverley Hockey Club,Hawthorn Hockey Club,2,4,Away Win,13,13,
1,Women's Pennant E,26978820,Hedley Hull Field,HHF,Waverley Hockey Club,KBH Brumbies Hockey Club,1,0,Home Win,14,15,
1,Women's Pennant E,26978550,Mentone Grammar Playing Fields,MNT,St. Bede's Hockey Club,Toorak East Malvern Hockey Club,1,5,Away Win,13,14,
1,Men's Metro A,26978730,Mentone Grammar Playing Fields,MNT,St. Bede's Hockey Club,KBH Brumbies Hockey Club,5,0,Away Forced Loss,12,,
1,Men's Metro B South,26978640,Mentone Grammar Playing Fields,MNT,St. Bede's Hockey Club,Frankston Hockey Club,1,3,Away Win,14,13,
1,Men's Pennant D,26978730,Melbourne High School,MHS,Melbourne High School Old Boys Hockey Club,Monash University Hockey Club,2,5,Away Win,14,12,
1,Women's Pennant E,26978640,Melbourne High School,MHS,Melbourne High School Old Boys Hockey Club,PEGS Hockey Club,0,0,Draw,15,14,
1,Men's Metro B North West,26978550,Altona Hockey Club,ALT,Altona Hockey Club,Whittlesea Hockey Club,4,3,Home Win,12,14,
1,Women's Metro B North West,26978640,Altona Hockey Club,ALT,Altona Hockey Club,Melton Hockey Club,0,1,Away Win,15,14,
1,Men's Pennant E,26978550,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Camberwell Hockey Club,2,3,Away Win,12,13,
1,Women's Metro B South,26978640,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Greater Dandenong Warriors Hockey Club,,,Away Forfeit,,,
1,Women's Vic League 2,26978550,Brighton Secondary College,BTN,Bayside Cougars Hockey Club,Frankston Hockey Club,2,3,Away Win,14,14,
1,Men's Vic League 3,26978640,Brighton Secondary College,BTN,Bayside Cougars Hockey Club,Croydon Ranges Hockey Club,0,0,Draw,15,14,
1,Women's Pennant F,26978460,Brighton Secondary College,BTN,Bayside Cougars Hockey Club,Footscray Hockey Club,1,0,Home Win,12,12,
1,Men's Pennant A,26978580,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Essendon Hockey,9,0,Home Win,15,12,
1,Women's Pennant A,26978670,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Essendon Hockey,1,1,Draw,15,12,
1,Women's Pennant B,26978760,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Essendon Hockey,2,0,Home Win,14,13,
1,Men's Pennant A,26978550,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Greensborough Hockey Club,4,4,Draw,15,14,
