4,GAME Clothing Men's Premier League Reserves,27007350,Footscray Hockey Club,F-1,Footscray Hockey Club,Camberwell Hockey Club
4,GAME Clothing Men's Premier League Reserves,27007350,Hedley Hull Field,HHF,Waverley Hockey Club,Powerhouse & St Kilda Hockey Club
4,GAME Clothing Men's Premier League Reserves,27007620,Brunswick Secondary College,BRU,Brunswick Hockey Club,KBH Brumbies Hockey Club
4,GAME Clothing Men's Premier League Reserves,27007350,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Southern United Hockey Club
4,GAME Clothing Men's Premier League Reserves,27009060,Yarra Valley Hockey Centre,YAR,Yarra Valley Hockey Club,MCC Hockey Section
4,GAME Clothing Men's Premier League Reserves,27008790,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Altona Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017430,Melbourne High School,MHS,MCC Hockey Section,Essendon Hockey
5,GAME Clothing Men's Premier League Reserves,27017430,Altona Hockey Club,ALT,Altona Hockey Club,Hawthorn Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017430,Brunswick Secondary College,BRU,Brunswick Hockey Club,Yarra Valley Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017700,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Waverley Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017700,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Greensborough Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017700,Southern United Hockey Club,MBN,Southern United Hockey Club,Footscray Hockey Club
5,GAME Clothing Men's Premier League Reserves,27017430,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,KBH Brumbies Hockey Club
5,GAME Clothing Men's Premier League Reserves,27018870,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Melbourne University Hockey Club
6,GAME Clothing Men's Premier League Reserves,27027480,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Southern United Hockey Club
